Kantons-Nummer;Kanton;Gemeinde-Nummer;Gemeinde;Stimmberechtigte;eingelegte Stimmzettel;Stimmbeteiligung;leere Stimmzettel;ungültige Stimmzettel;gültige Stimmen;Ja-Stimmen;Nein-Stimmen;Ja in Prozent
1;Zürich;1;Aeugst am Albis;1'415;771;54.5;10;0;761;301;460;39.6
1;Zürich;2;Affoltern am Albis;7'248;3'284;45.3;59;0;3'225;1'150;2'075;35.7
1;Zürich;3;Bonstetten;3'665;1'952;53.3;24;0;1'928;697;1'231;36.2
1;Zürich;4;Hausen am Albis;2'603;1'378;52.9;33;0;1'345;531;814;39.5
1;Zürich;5;Hedingen;2'504;1'396;55.8;24;0;1'372;509;863;37.1
1;Zürich;6;Kappel am Albis;818;387;47.3;9;0;378;162;216;42.9
1;Zürich;7;Knonau;1'511;764;50.6;20;0;744;273;471;36.7
1;Zürich;8;Maschwanden;444;235;52.9;3;0;232;86;146;37.1
1;Zürich;9;Mettmenstetten;3'695;1'926;52.1;35;0;1'891;742;1'149;39.2
1;Zürich;10;Obfelden;3'514;1'516;43.1;23;0;1'493;513;980;34.4
1;Zürich;11;Ottenbach;1'926;1'005;52.2;8;0;997;357;640;35.8
1;Zürich;12;Rifferswil;782;455;58.2;9;0;446;141;305;31.6
1;Zürich;13;Stallikon;2'417;1'255;51.9;17;0;1'238;521;717;42.1
1;Zürich;14;Wettswil am Albis;3'502;1'863;53.2;30;0;1'833;890;943;48.6
1;Zürich;21;Adlikon;497;286;57.5;4;0;282;98;184;34.8
1;Zürich;22;Benken (ZH);596;294;49.3;3;0;291;115;176;39.5
1;Zürich;23;Berg am Irchel;451;269;59.6;6;0;263;107;156;40.7
1;Zürich;24;Buch am Irchel;725;390;53.8;9;0;381;164;217;43.0
1;Zürich;25;Dachsen;1'346;680;50.5;25;0;655;236;419;36.0
1;Zürich;26;Dorf;514;265;51.6;9;0;256;84;172;32.8
1;Zürich;27;Feuerthalen;2'361;1'117;47.3;37;1;1'079;365;714;33.8
1;Zürich;28;Flaach;980;483;49.3;8;0;475;175;300;36.8
1;Zürich;29;Flurlingen;1'039;560;53.9;26;0;534;234;300;43.8
1;Zürich;30;Andelfingen;1'531;855;55.8;16;0;839;349;490;41.6
1;Zürich;31;Henggart;1'675;867;51.8;19;0;848;343;505;40.4
1;Zürich;32;Humlikon;347;173;49.9;2;0;171;94;77;55.0
1;Zürich;33;Kleinandelfingen;1'480;734;49.6;27;0;707;254;453;35.9
1;Zürich;34;Laufen-Uhwiesen;1'290;671;52.0;19;0;652;284;368;43.6
1;Zürich;35;Marthalen;1'399;753;53.8;20;0;733;295;438;40.2
1;Zürich;37;Ossingen;1'237;584;47.2;6;0;578;240;338;41.5
1;Zürich;38;Rheinau;866;477;55.1;15;1;461;140;321;30.4
1;Zürich;39;Thalheim an der Thur;692;340;49.1;8;0;332;122;210;36.7
1;Zürich;40;Trüllikon;805;405;50.3;9;0;396;173;223;43.7
1;Zürich;41;Truttikon;350;201;57.4;5;0;196;74;122;37.8
1;Zürich;43;Volken;261;127;48.7;3;0;124;36;88;29.0
1;Zürich;51;Bachenbülach;2'543;1'079;42.4;29;0;1'050;385;665;36.7
1;Zürich;52;Bassersdorf;7'244;3'212;44.3;54;0;3'158;1'172;1'986;37.1
1;Zürich;53;Bülach;12'874;5'212;40.5;69;21;5'122;1'748;3'374;34.1
1;Zürich;54;Dietlikon;4'744;2'195;46.3;39;0;2'156;797;1'359;37.0
1;Zürich;55;Eglisau;3'313;1'626;49.1;29;0;1'597;599;998;37.5
1;Zürich;56;Embrach;5'680;2'284;40.2;41;1;2'242;856;1'386;38.2
1;Zürich;57;Freienstein-Teufen;1'669;859;51.5;17;0;842;334;508;39.7
1;Zürich;58;Glattfelden;3'197;1'291;40.4;21;0;1'270;443;827;34.9
1;Zürich;59;Hochfelden;1'338;614;45.9;11;4;599;192;407;32.1
1;Zürich;60;Höri;1'556;565;36.3;6;0;559;231;328;41.3
1;Zürich;61;Hüntwangen;762;367;48.2;3;0;364;134;230;36.8
1;Zürich;62;Kloten;11'216;3'991;35.6;81;0;3'910;1'444;2'466;36.9
1;Zürich;63;Lufingen;1'621;744;45.9;7;0;737;295;442;40.0
1;Zürich;64;Nürensdorf;3'958;1'941;49.0;29;0;1'912;837;1'075;43.8
1;Zürich;65;Oberembrach;803;410;51.1;8;0;402;164;238;40.8
1;Zürich;66;Opfikon;9'275;3'239;34.9;65;0;3'174;1'288;1'886;40.6
1;Zürich;67;Rafz;2'970;1'495;50.3;28;0;1'467;471;996;32.1
1;Zürich;68;Rorbas;1'663;630;37.9;9;0;621;246;375;39.6
1;Zürich;69;Wallisellen;9'694;4'297;44.3;46;19;4'232;1'796;2'436;42.4
1;Zürich;70;Wasterkingen;428;213;49.8;4;0;209;72;137;34.4
1;Zürich;71;Wil (ZH);1'044;548;52.5;17;0;531;189;342;35.6
1;Zürich;72;Winkel;3'368;1'749;51.9;29;0;1'720;835;885;48.5
1;Zürich;81;Bachs;456;231;50.7;7;0;224;83;141;37.1
1;Zürich;82;Boppelsen;1'021;549;53.8;10;0;539;215;324;39.9
1;Zürich;83;Buchs (ZH);3'921;1'529;39.0;29;0;1'500;531;969;35.4
1;Zürich;84;Dällikon;2'427;953;39.3;9;0;944;393;551;41.6
1;Zürich;85;Dänikon;1'090;518;47.5;11;0;507;201;306;39.6
1;Zürich;86;Dielsdorf;3'347;1'397;41.7;29;0;1'368;480;888;35.1
1;Zürich;87;Hüttikon;582;286;49.1;5;0;281;124;157;44.1
1;Zürich;88;Neerach;2'395;1'294;54.0;15;0;1'279;641;638;50.1
1;Zürich;89;Niederglatt;3'062;1'224;40.0;21;0;1'203;437;766;36.3
1;Zürich;90;Niederhasli;5'539;2'248;40.6;30;0;2'218;777;1'441;35.0
1;Zürich;91;Niederweningen;2'055;1'004;48.9;10;0;994;346;648;34.8
1;Zürich;92;Oberglatt;3'643;1'193;32.7;21;0;1'172;361;811;30.8
1;Zürich;93;Oberweningen;1'217;628;51.6;6;0;622;192;430;30.9
1;Zürich;94;Otelfingen;1'806;859;47.6;21;0;838;319;519;38.1
1;Zürich;95;Regensberg;316;187;59.2;0;0;187;73;114;39.0
1;Zürich;96;Regensdorf;9'731;3'744;38.5;64;0;3'680;1'415;2'265;38.5
1;Zürich;97;Rümlang;4'551;1'690;37.1;31;0;1'659;553;1'106;33.3
1;Zürich;98;Schleinikon;630;289;45.9;5;0;284;83;201;29.2
1;Zürich;99;Schöfflisdorf;943;484;51.3;11;0;473;199;274;42.1
1;Zürich;100;Stadel;1'652;714;43.2;3;0;711;256;455;36.0
1;Zürich;101;Steinmaur;2'159;984;45.6;14;0;970;365;605;37.6
1;Zürich;102;Weiach;1'227;424;34.6;5;0;419;147;272;35.1
1;Zürich;111;Bäretswil;3'601;1'977;54.9;61;2;1'914;643;1'271;33.6
1;Zürich;112;Bubikon;5'213;2'582;49.5;34;0;2'548;806;1'742;31.6
1;Zürich;113;Dürnten;5'028;2'417;48.1;55;0;2'362;843;1'519;35.7
1;Zürich;114;Fischenthal;1'720;770;44.8;12;0;758;236;522;31.1
1;Zürich;115;Gossau (ZH);7'099;3'317;46.7;75;2;3'240;1'149;2'091;35.5
1;Zürich;116;Grüningen;2'647;1'249;47.2;21;1;1'227;473;754;38.5
1;Zürich;117;Hinwil;7'875;3'713;47.1;70;0;3'643;1'296;2'347;35.6
1;Zürich;118;Rüti (ZH);7'707;3'243;42.1;53;1;3'189;1'014;2'175;31.8
1;Zürich;119;Seegräben;980;550;56.1;17;0;533;182;351;34.1
1;Zürich;120;Wald (ZH);6'204;2'853;46.0;64;0;2'789;862;1'927;30.9
1;Zürich;121;Wetzikon (ZH);15'287;6'273;41.0;118;2;6'153;1'969;4'184;32.0
1;Zürich;131;Adliswil;9'685;4'508;46.5;76;0;4'432;1'781;2'651;40.2
1;Zürich;135;Kilchberg (ZH);5'004;2'841;56.8;44;0;2'797;1'640;1'157;58.6
1;Zürich;136;Langnau am Albis;4'642;2'214;47.7;46;0;2'168;968;1'200;44.6
1;Zürich;137;Oberrieden;3'321;1'895;57.1;33;0;1'862;858;1'004;46.1
1;Zürich;138;Richterswil;8'825;4'219;47.8;88;1;4'130;1'706;2'424;41.3
1;Zürich;139;Rüschlikon;3'357;1'846;55.0;28;0;1'818;984;834;54.1
1;Zürich;141;Thalwil;10'668;5'604;52.5;83;0;5'521;2'424;3'097;43.9
1;Zürich;151;Erlenbach (ZH);3'482;1'981;56.9;28;1;1'952;1'181;771;60.5
